title,description,genre,rating
Тіні забутих предків,"Роман Михайла Коцюбинського, що занурює читача в атмосферу гуцульських легенд і традицій. Автор майстерно описує любов і трагедію на тлі мальовничих Карпат. Книга досліджує звʼязок людини з природою та містикою рідного краю. Сильні образи та поетична мова залишають незабутні враження.",Проза,4.8
Солодка Даруся,"Соціально-психологічний роман Марії Матіос про трагедію людських стосунків в умовах війни. Дія відбувається на Західній Україні, де долі героїв сплетені з історією народу. Авторка гостро відчуває біль втрат і любові крізь призму поколінь. Глибока моральна напруга тримає читача до останньої сторінки.",Проза,4.6
Ворошиловград,"Сергій Жадан створює яскравий портрет сучасного Сходу України у журналістсько-романістичному стилі. Герой повертається додому, щоб врятувати сімейний бізнес, та зустрічає друзів і старі спогади. Роман поєднує гумор, драму та гостру соціальну сатиру. Мова твору енергійна, життєва та співзвучна з ритмом вулиць Луганщини.",Проза,4.7
Музей покинутих секретів,"Оксана Забужко пропонує епічну сагу про долі трьох поколінь українського народу. Роман охоплює події від 1930-х до 2000-х років, переплітаючи особисті історії з політичними потрясіннями. Богатий на історичні деталі та психологічну глибину текст. Книга ставить важливі питання ідентичності та пам'яті.",Проза,4.9
Felix Austria,Роман Софії Андрухович розгортається на тлі Галичини кінця XIX століття. Авторка досліджує тему дружби та зради через долі двох жінок з різними соціальними статусами. Вишуканий стиль та атмосферні описи культурних особливостей регіону захоплюють. Ця історія про пошук власного щастя та самотність залишається актуальною сьогодні.,Проза,4.5
Спитати у тиші,"Вікторія Амеліна створює тонку ретроспективу життя жінок під час і після Другої світової війни. Авторка ділиться спогадами через листи, сповнені суму та надії. Роман порушує тему пам'яті й відповідальності за минуле покоління. Книга захоплює емоційністю та достовірністю деталей.",Проза,4.4
Чорний ворон,"Історичний роман Василя Шкляра про козацького отамана, який веде боротьбу за українську свободу в XIX столітті. Динамічний сюжет поєднує пригоди з глибокою філософською рефлексією. Автор змальовує героїзм і трагедію в контексті національної боротьби. Текст наповнений колоритом і краєвидами степових просторів.",Проза,4.6
Польові дослідження українського сексу,"Есеїстична збірка Оксани Забужко про сучасне українське суспільство та його погляд на інтимність. Авторка жартівливо й гостро аналізує теми моралі, стосунків і табу. Книга поєднує особисті спогади з соціокультурними розвідками. Стиль провокативний, емоційний та дискусійний.",Проза,4.3
Інтернат,"Роман Сергія Жадана про групу підлітків у закритому навчальному закладі на Донбасі. Твір висвітлює проблеми адаптації, дружби та пошуку свободи в умовах ізоляції. Автор використовує пряму мову і динамічні діалоги, що створюють ефект присутності. Книга наповнена болісними іскрами надії й співчуття.",Проза,4.2
Коли падають дерева,"Роман Андрія Бондаря про внутрішні монологи героя, який шукає себе в епоху постмодернізму. Автор поєднує символізм із філософськими роздумами про буття. Книга сповнена експериментальних прийомів та несподіваних метафор. Стиль складний, але захоплює власною оригінальністю.",Проза,4.1
Кобзар,"Збірка поезій Тараса Шевченка, яка заклала основи української літератури. Твори поєднують гостру соціальну критику з емоційною лірикою. Автор звертається до тем свободи, гідності та національної свідомості. «Кобзар» відзначається музикальністю мови і глибинним символізмом.",Поезія,5.0
