2025-04-25 18:06:38,968 INFO    StreamThr :136376 [internal.py:wandb_internal():83] W&B internal server running at pid: 136376, started at: 2025-04-25 18:06:38.967665
2025-04-25 18:06:38,972 INFO    WriterThread:136376 [datastore.py:open_for_write():87] open: /home/anatolii-shara/Documents/mlops_projector/hw5/wandb/run-20250425_180638-pgdkm9bn/run-pgdkm9bn.wandb
2025-04-25 18:06:39,787 INFO    SenderThread:136376 [dir_watcher.py:__init__():211] watching files in: /home/anatolii-shara/Documents/mlops_projector/hw5/wandb/run-20250425_180638-pgdkm9bn/files
2025-04-25 18:06:39,787 INFO    SenderThread:136376 [sender.py:_start_run_threads():1134] run started: pgdkm9bn with start time 1745593598.966048
2025-04-25 18:06:39,787 INFO    HandlerThread:136376 [system_monitor.py:start():187] Starting system monitor
2025-04-25 18:06:39,788 INFO    SystemMonitor:136376 [system_monitor.py:_start():151] Starting system asset monitoring threads
2025-04-25 18:06:39,788 INFO    HandlerThread:136376 [system_monitor.py:probe():207] Collecting system info
2025-04-25 18:06:39,788 INFO    SystemMonitor:136376 [interfaces.py:start():186] Started cpu monitoring
2025-04-25 18:06:39,789 INFO    SystemMonitor:136376 [interfaces.py:start():186] Started disk monitoring
2025-04-25 18:06:39,789 INFO    SystemMonitor:136376 [interfaces.py:start():186] Started memory monitoring
2025-04-25 18:06:39,790 INFO    SystemMonitor:136376 [interfaces.py:start():186] Started network monitoring
2025-04-25 18:06:39,800 INFO    HandlerThread:136376 [system_monitor.py:probe():217] Finished collecting system info
2025-04-25 18:06:39,800 INFO    HandlerThread:136376 [system_monitor.py:probe():220] Publishing system info
2025-04-25 18:06:39,801 INFO    HandlerThread:136376 [system_monitor.py:probe():222] Finished publishing system info
2025-04-25 18:06:39,803 INFO    SenderThread:136376 [sender.py:_save_file():1403] saving file wandb-metadata.json with policy now
2025-04-25 18:06:40,399 INFO    SenderThread:136376 [sender.py:_save_file():1403] saving file wandb-summary.json with policy end
2025-04-25 18:06:40,790 INFO    Thread-12 :136376 [dir_watcher.py:_on_file_created():272] file/dir created: /home/anatolii-shara/Documents/mlops_projector/hw5/wandb/run-20250425_180638-pgdkm9bn/files/requirements.txt
2025-04-25 18:06:40,790 INFO    Thread-12 :136376 [dir_watcher.py:_on_file_created():272] file/dir created: /home/anatolii-shara/Documents/mlops_projector/hw5/wandb/run-20250425_180638-pgdkm9bn/files/wandb-metadata.json
2025-04-25 18:06:40,791 INFO    Thread-12 :136376 [dir_watcher.py:_on_file_created():272] file/dir created: /home/anatolii-shara/Documents/mlops_projector/hw5/wandb/run-20250425_180638-pgdkm9bn/files/wandb-summary.json
2025-04-25 18:06:40,815 INFO    wandb-upload_0:136376 [upload_job.py:push():130] Uploaded file /tmp/tmpmn9rq77lwandb/3d8nxdja-wandb-metadata.json
2025-04-25 18:06:42,850 INFO    wandb-upload_0:136376 [upload_job.py:push():88] Uploaded file /home/anatolii-shara/.local/share/wandb/artifacts/staging/tmpqvec4tu5
2025-04-25 18:06:44,281 INFO    SenderThread:136376 [sender.py:send_request_log_artifact():1487] logged artifact svd-model-sweep - {'id': 'QXJ0aWZhY3Q6MTY4NTUyNTA2NQ==', 'state': 'PENDING', 'artifactSequence': {'id': 'QXJ0aWZhY3RDb2xsZWN0aW9uOjYyMjEwMTc2OQ==', 'latestArtifact': {'id': 'QXJ0aWZhY3Q6MTY4NTUyNDUzOA==', 'versionIndex': 2}}}
2025-04-25 18:06:44,281 INFO    SenderThread:136376 [sender.py:send_exit():554] handling exit code: 0
2025-04-25 18:06:44,281 INFO    SenderThread:136376 [sender.py:send_exit():556] handling runtime: 0
2025-04-25 18:06:44,283 INFO    SenderThread:136376 [sender.py:_save_file():1403] saving file wandb-summary.json with policy end
2025-04-25 18:06:44,283 INFO    SenderThread:136376 [sender.py:send_exit():562] send defer
2025-04-25 18:06:44,283 INFO    HandlerThread:136376 [handler.py:handle_request_defer():188] handle defer: 0
2025-04-25 18:06:44,284 INFO    SenderThread:136376 [sender.py:send_request_defer():578] handle sender defer: 0
2025-04-25 18:06:44,284 INFO    SenderThread:136376 [sender.py:transition_state():582] send defer: 1
2025-04-25 18:06:44,285 INFO    HandlerThread:136376 [handler.py:handle_request_defer():188] handle defer: 1
2025-04-25 18:06:44,285 INFO    SenderThread:136376 [sender.py:send_request_defer():578] handle sender defer: 1
2025-04-25 18:06:44,285 INFO    SenderThread:136376 [sender.py:transition_state():582] send defer: 2
2025-04-25 18:06:44,285 INFO    HandlerThread:136376 [handler.py:handle_request_defer():188] handle defer: 2
2025-04-25 18:06:44,286 INFO    HandlerThread:136376 [system_monitor.py:finish():196] Stopping system monitor
2025-04-25 18:06:44,287 INFO    HandlerThread:136376 [interfaces.py:finish():198] Joined cpu monitor
2025-04-25 18:06:44,287 INFO    HandlerThread:136376 [interfaces.py:finish():198] Joined disk monitor
2025-04-25 18:06:44,287 INFO    HandlerThread:136376 [interfaces.py:finish():198] Joined memory monitor
2025-04-25 18:06:44,288 INFO    HandlerThread:136376 [interfaces.py:finish():198] Joined network monitor
2025-04-25 18:06:44,288 INFO    SenderThread:136376 [sender.py:send_request_defer():578] handle sender defer: 2
2025-04-25 18:06:44,288 INFO    SenderThread:136376 [sender.py:transition_state():582] send defer: 3
2025-04-25 18:06:44,289 INFO    HandlerThread:136376 [handler.py:handle_request_defer():188] handle defer: 3
2025-04-25 18:06:44,289 INFO    SenderThread:136376 [sender.py:send_request_defer():578] handle sender defer: 3
2025-04-25 18:06:44,289 INFO    SenderThread:136376 [sender.py:transition_state():582] send defer: 4
2025-04-25 18:06:44,289 INFO    HandlerThread:136376 [handler.py:handle_request_defer():188] handle defer: 4
2025-04-25 18:06:44,290 INFO    SenderThread:136376 [sender.py:send_request_defer():578] handle sender defer: 4
2025-04-25 18:06:44,290 INFO    SenderThread:136376 [sender.py:transition_state():582] send defer: 5
2025-04-25 18:06:44,290 INFO    HandlerThread:136376 [handler.py:handle_request_defer():188] handle defer: 5
2025-04-25 18:06:44,291 INFO    SenderThread:136376 [sender.py:_save_file():1403] saving file wandb-summary.json with policy end
2025-04-25 18:06:44,291 INFO    SenderThread:136376 [sender.py:send_request_defer():578] handle sender defer: 5
2025-04-25 18:06:44,291 INFO    SenderThread:136376 [sender.py:transition_state():582] send defer: 6
2025-04-25 18:06:44,291 INFO    HandlerThread:136376 [handler.py:handle_request_defer():188] handle defer: 6
2025-04-25 18:06:44,292 INFO    SenderThread:136376 [sender.py:send_request_defer():578] handle sender defer: 6
2025-04-25 18:06:44,705 INFO    SenderThread:136376 [sender.py:transition_state():582] send defer: 7
2025-04-25 18:06:44,706 INFO    HandlerThread:136376 [handler.py:handle_request_defer():188] handle defer: 7
2025-04-25 18:06:44,706 INFO    SenderThread:136376 [sender.py:send_request_defer():578] handle sender defer: 7
2025-04-25 18:06:44,706 INFO    SenderThread:136376 [sender.py:transition_state():582] send defer: 8
2025-04-25 18:06:44,706 INFO    HandlerThread:136376 [handler.py:handle_request_defer():188] handle defer: 8
2025-04-25 18:06:44,706 INFO    SenderThread:136376 [sender.py:send_request_defer():578] handle sender defer: 8
2025-04-25 18:06:44,706 INFO    SenderThread:136376 [sender.py:transition_state():582] send defer: 9
2025-04-25 18:06:44,706 INFO    HandlerThread:136376 [handler.py:handle_request_defer():188] handle defer: 9
2025-04-25 18:06:44,707 INFO    SenderThread:136376 [sender.py:send_request_defer():578] handle sender defer: 9
2025-04-25 18:06:44,707 INFO    SenderThread:136376 [dir_watcher.py:finish():359] shutting down directory watcher
2025-04-25 18:06:44,790 INFO    Thread-12 :136376 [dir_watcher.py:_on_file_modified():289] file/dir modified: /home/anatolii-shara/Documents/mlops_projector/hw5/wandb/run-20250425_180638-pgdkm9bn/files/config.yaml
2025-04-25 18:06:44,791 INFO    SenderThread:136376 [dir_watcher.py:_on_file_modified():289] file/dir modified: /home/anatolii-shara/Documents/mlops_projector/hw5/wandb/run-20250425_180638-pgdkm9bn/files/wandb-summary.json
2025-04-25 18:06:44,791 INFO    SenderThread:136376 [dir_watcher.py:finish():389] scan: /home/anatolii-shara/Documents/mlops_projector/hw5/wandb/run-20250425_180638-pgdkm9bn/files
2025-04-25 18:06:44,791 INFO    SenderThread:136376 [dir_watcher.py:finish():403] scan save: /home/anatolii-shara/Documents/mlops_projector/hw5/wandb/run-20250425_180638-pgdkm9bn/files/wandb-summary.json wandb-summary.json
2025-04-25 18:06:44,791 INFO    SenderThread:136376 [dir_watcher.py:finish():403] scan save: /home/anatolii-shara/Documents/mlops_projector/hw5/wandb/run-20250425_180638-pgdkm9bn/files/config.yaml config.yaml
2025-04-25 18:06:44,791 INFO    SenderThread:136376 [dir_watcher.py:finish():403] scan save: /home/anatolii-shara/Documents/mlops_projector/hw5/wandb/run-20250425_180638-pgdkm9bn/files/wandb-metadata.json wandb-metadata.json
