2025-04-25 18:07:43,483 INFO    StreamThr :137080 [internal.py:wandb_internal():83] W&B internal server running at pid: 137080, started at: 2025-04-25 18:07:43.482612
2025-04-25 18:07:43,488 INFO    WriterThread:137080 [datastore.py:open_for_write():87] open: /home/anatolii-shara/Documents/mlops_projector/hw5/wandb/run-20250425_180743-arsg6hks/run-arsg6hks.wandb
2025-04-25 18:07:44,501 INFO    SenderThread:137080 [dir_watcher.py:__init__():211] watching files in: /home/anatolii-shara/Documents/mlops_projector/hw5/wandb/run-20250425_180743-arsg6hks/files
2025-04-25 18:07:44,501 INFO    SenderThread:137080 [sender.py:_start_run_threads():1134] run started: arsg6hks with start time 1745593663.480361
2025-04-25 18:07:44,546 INFO    HandlerThread:137080 [system_monitor.py:start():187] Starting system monitor
2025-04-25 18:07:44,547 INFO    SystemMonitor:137080 [system_monitor.py:_start():151] Starting system asset monitoring threads
2025-04-25 18:07:44,547 INFO    HandlerThread:137080 [system_monitor.py:probe():207] Collecting system info
2025-04-25 18:07:44,548 INFO    SystemMonitor:137080 [interfaces.py:start():186] Started cpu monitoring
2025-04-25 18:07:44,550 INFO    SystemMonitor:137080 [interfaces.py:start():186] Started disk monitoring
2025-04-25 18:07:44,551 INFO    SystemMonitor:137080 [interfaces.py:start():186] Started memory monitoring
2025-04-25 18:07:44,553 INFO    SystemMonitor:137080 [interfaces.py:start():186] Started network monitoring
2025-04-25 18:07:44,574 INFO    HandlerThread:137080 [system_monitor.py:probe():217] Finished collecting system info
2025-04-25 18:07:44,574 INFO    HandlerThread:137080 [system_monitor.py:probe():220] Publishing system info
2025-04-25 18:07:44,575 INFO    HandlerThread:137080 [system_monitor.py:probe():222] Finished publishing system info
2025-04-25 18:07:44,577 INFO    SenderThread:137080 [sender.py:_save_file():1403] saving file wandb-metadata.json with policy now
2025-04-25 18:07:44,966 INFO    SenderThread:137080 [sender.py:_save_file():1403] saving file wandb-summary.json with policy end
2025-04-25 18:07:45,502 INFO    Thread-12 :137080 [dir_watcher.py:_on_file_created():272] file/dir created: /home/anatolii-shara/Documents/mlops_projector/hw5/wandb/run-20250425_180743-arsg6hks/files/requirements.txt
2025-04-25 18:07:45,503 INFO    Thread-12 :137080 [dir_watcher.py:_on_file_created():272] file/dir created: /home/anatolii-shara/Documents/mlops_projector/hw5/wandb/run-20250425_180743-arsg6hks/files/wandb-metadata.json
