2025-04-25 18:08:48,406 INFO    StreamThr :137807 [internal.py:wandb_internal():83] W&B internal server running at pid: 137807, started at: 2025-04-25 18:08:48.405490
2025-04-25 18:08:48,409 INFO    WriterThread:137807 [datastore.py:open_for_write():87] open: /home/anatolii-shara/Documents/mlops_projector/hw5/wandb/run-20250425_180848-xt3j8vdt/run-xt3j8vdt.wandb
2025-04-25 18:08:49,527 INFO    SenderThread:137807 [dir_watcher.py:__init__():211] watching files in: /home/anatolii-shara/Documents/mlops_projector/hw5/wandb/run-20250425_180848-xt3j8vdt/files
2025-04-25 18:08:49,528 INFO    SenderThread:137807 [sender.py:_start_run_threads():1134] run started: xt3j8vdt with start time 1745593728.402743
2025-04-25 18:08:49,569 INFO    HandlerThread:137807 [system_monitor.py:start():187] Starting system monitor
2025-04-25 18:08:49,570 INFO    SystemMonitor:137807 [system_monitor.py:_start():151] Starting system asset monitoring threads
2025-04-25 18:08:49,570 INFO    HandlerThread:137807 [system_monitor.py:probe():207] Collecting system info
2025-04-25 18:08:49,571 INFO    SystemMonitor:137807 [interfaces.py:start():186] Started cpu monitoring
2025-04-25 18:08:49,573 INFO    SystemMonitor:137807 [interfaces.py:start():186] Started disk monitoring
2025-04-25 18:08:49,574 INFO    SystemMonitor:137807 [interfaces.py:start():186] Started memory monitoring
2025-04-25 18:08:49,575 INFO    SystemMonitor:137807 [interfaces.py:start():186] Started network monitoring
2025-04-25 18:08:49,595 INFO    HandlerThread:137807 [system_monitor.py:probe():217] Finished collecting system info
2025-04-25 18:08:49,595 INFO    HandlerThread:137807 [system_monitor.py:probe():220] Publishing system info
2025-04-25 18:08:49,595 INFO    HandlerThread:137807 [system_monitor.py:probe():222] Finished publishing system info
2025-04-25 18:08:49,598 INFO    SenderThread:137807 [sender.py:_save_file():1403] saving file wandb-metadata.json with policy now
2025-04-25 18:08:50,237 INFO    SenderThread:137807 [sender.py:_save_file():1403] saving file wandb-summary.json with policy end
2025-04-25 18:08:50,530 INFO    Thread-12 :137807 [dir_watcher.py:_on_file_created():272] file/dir created: /home/anatolii-shara/Documents/mlops_projector/hw5/wandb/run-20250425_180848-xt3j8vdt/files/requirements.txt
2025-04-25 18:08:50,530 INFO    Thread-12 :137807 [dir_watcher.py:_on_file_created():272] file/dir created: /home/anatolii-shara/Documents/mlops_projector/hw5/wandb/run-20250425_180848-xt3j8vdt/files/wandb-metadata.json
2025-04-25 18:08:50,530 INFO    Thread-12 :137807 [dir_watcher.py:_on_file_created():272] file/dir created: /home/anatolii-shara/Documents/mlops_projector/hw5/wandb/run-20250425_180848-xt3j8vdt/files/wandb-summary.json
2025-04-25 18:08:50,639 INFO    wandb-upload_0:137807 [upload_job.py:push():130] Uploaded file /tmp/tmpr3lwhetdwandb/lie4w9e3-wandb-metadata.json
2025-04-25 18:08:52,690 INFO    wandb-upload_0:137807 [upload_job.py:push():88] Uploaded file /home/anatolii-shara/.local/share/wandb/artifacts/staging/tmpn6dlutfs
2025-04-25 18:08:53,709 INFO    SenderThread:137807 [sender.py:send_request_log_artifact():1487] logged artifact svd-model-sweep - {'id': 'QXJ0aWZhY3Q6MTY4NTUyODYyMw==', 'state': 'PENDING', 'artifactSequence': {'id': 'QXJ0aWZhY3RDb2xsZWN0aW9uOjYyMjEwMTc2OQ==', 'latestArtifact': {'id': 'QXJ0aWZhY3Q6MTY4NTUyODE3NQ==', 'versionIndex': 10}}}
2025-04-25 18:08:53,709 INFO    SenderThread:137807 [sender.py:send_exit():554] handling exit code: 0
2025-04-25 18:08:53,709 INFO    SenderThread:137807 [sender.py:send_exit():556] handling runtime: 0
2025-04-25 18:08:53,710 INFO    SenderThread:137807 [sender.py:_save_file():1403] saving file wandb-summary.json with policy end
2025-04-25 18:08:53,710 INFO    SenderThread:137807 [sender.py:send_exit():562] send defer
2025-04-25 18:08:53,710 INFO    HandlerThread:137807 [handler.py:handle_request_defer():188] handle defer: 0
2025-04-25 18:08:53,710 INFO    SenderThread:137807 [sender.py:send_request_defer():578] handle sender defer: 0
2025-04-25 18:08:53,711 INFO    SenderThread:137807 [sender.py:transition_state():582] send defer: 1
2025-04-25 18:08:53,711 INFO    HandlerThread:137807 [handler.py:handle_request_defer():188] handle defer: 1
2025-04-25 18:08:53,711 INFO    SenderThread:137807 [sender.py:send_request_defer():578] handle sender defer: 1
2025-04-25 18:08:53,711 INFO    SenderThread:137807 [sender.py:transition_state():582] send defer: 2
2025-04-25 18:08:53,711 INFO    HandlerThread:137807 [handler.py:handle_request_defer():188] handle defer: 2
2025-04-25 18:08:53,711 INFO    HandlerThread:137807 [system_monitor.py:finish():196] Stopping system monitor
2025-04-25 18:08:53,712 INFO    HandlerThread:137807 [interfaces.py:finish():198] Joined cpu monitor
2025-04-25 18:08:53,712 INFO    HandlerThread:137807 [interfaces.py:finish():198] Joined disk monitor
2025-04-25 18:08:53,712 INFO    HandlerThread:137807 [interfaces.py:finish():198] Joined memory monitor
2025-04-25 18:08:53,712 INFO    HandlerThread:137807 [interfaces.py:finish():198] Joined network monitor
2025-04-25 18:08:53,712 INFO    SenderThread:137807 [sender.py:send_request_defer():578] handle sender defer: 2
2025-04-25 18:08:53,712 INFO    SenderThread:137807 [sender.py:transition_state():582] send defer: 3
2025-04-25 18:08:53,712 INFO    HandlerThread:137807 [handler.py:handle_request_defer():188] handle defer: 3
2025-04-25 18:08:53,712 INFO    SenderThread:137807 [sender.py:send_request_defer():578] handle sender defer: 3
2025-04-25 18:08:53,712 INFO    SenderThread:137807 [sender.py:transition_state():582] send defer: 4
2025-04-25 18:08:53,712 INFO    HandlerThread:137807 [handler.py:handle_request_defer():188] handle defer: 4
2025-04-25 18:08:53,712 INFO    SenderThread:137807 [sender.py:send_request_defer():578] handle sender defer: 4
2025-04-25 18:08:53,712 INFO    SenderThread:137807 [sender.py:transition_state():582] send defer: 5
