2025-04-25 18:12:03,162 INFO    StreamThr :139926 [internal.py:wandb_internal():83] W&B internal server running at pid: 139926, started at: 2025-04-25 18:12:03.161793
2025-04-25 18:12:03,168 INFO    WriterThread:139926 [datastore.py:open_for_write():87] open: /home/anatolii-shara/Documents/mlops_projector/hw5/wandb/run-20250425_181203-8osbhx35/run-8osbhx35.wandb
2025-04-25 18:12:03,800 INFO    HandlerThread:139926 [system_monitor.py:start():187] Starting system monitor
2025-04-25 18:12:03,800 INFO    SystemMonitor:139926 [system_monitor.py:_start():151] Starting system asset monitoring threads
2025-04-25 18:12:03,801 INFO    HandlerThread:139926 [system_monitor.py:probe():207] Collecting system info
2025-04-25 18:12:03,801 INFO    SystemMonitor:139926 [interfaces.py:start():186] Started cpu monitoring
2025-04-25 18:12:03,802 INFO    SystemMonitor:139926 [interfaces.py:start():186] Started disk monitoring
2025-04-25 18:12:03,803 INFO    SenderThread:139926 [dir_watcher.py:__init__():211] watching files in: /home/anatolii-shara/Documents/mlops_projector/hw5/wandb/run-20250425_181203-8osbhx35/files
2025-04-25 18:12:03,804 INFO    SenderThread:139926 [sender.py:_start_run_threads():1134] run started: 8osbhx35 with start time 1745593923.159478
2025-04-25 18:12:03,804 INFO    SystemMonitor:139926 [interfaces.py:start():186] Started memory monitoring
2025-04-25 18:12:03,804 INFO    SystemMonitor:139926 [interfaces.py:start():186] Started network monitoring
2025-04-25 18:12:03,824 INFO    HandlerThread:139926 [system_monitor.py:probe():217] Finished collecting system info
2025-04-25 18:12:03,824 INFO    HandlerThread:139926 [system_monitor.py:probe():220] Publishing system info
2025-04-25 18:12:03,825 INFO    HandlerThread:139926 [system_monitor.py:probe():222] Finished publishing system info
2025-04-25 18:12:03,827 INFO    SenderThread:139926 [sender.py:_save_file():1403] saving file wandb-metadata.json with policy now
2025-04-25 18:12:04,805 INFO    Thread-12 :139926 [dir_watcher.py:_on_file_created():272] file/dir created: /home/anatolii-shara/Documents/mlops_projector/hw5/wandb/run-20250425_181203-8osbhx35/files/requirements.txt
2025-04-25 18:12:04,806 INFO    Thread-12 :139926 [dir_watcher.py:_on_file_created():272] file/dir created: /home/anatolii-shara/Documents/mlops_projector/hw5/wandb/run-20250425_181203-8osbhx35/files/wandb-metadata.json
2025-04-25 18:12:04,991 INFO    SenderThread:139926 [sender.py:_save_file():1403] saving file wandb-summary.json with policy end
2025-04-25 18:12:05,505 INFO    wandb-upload_0:139926 [upload_job.py:push():130] Uploaded file /tmp/tmpv5t162y9wandb/2psap5a2-wandb-metadata.json
2025-04-25 18:12:05,804 INFO    Thread-12 :139926 [dir_watcher.py:_on_file_created():272] file/dir created: /home/anatolii-shara/Documents/mlops_projector/hw5/wandb/run-20250425_181203-8osbhx35/files/wandb-summary.json
2025-04-25 18:12:07,413 INFO    wandb-upload_0:139926 [upload_job.py:push():88] Uploaded file /home/anatolii-shara/.local/share/wandb/artifacts/staging/tmptiwlw51f
2025-04-25 18:12:08,476 INFO    SenderThread:139926 [sender.py:send_request_log_artifact():1487] logged artifact svd-model-sweep - {'id': 'QXJ0aWZhY3Q6MTY4NTUzMzc4MA==', 'state': 'PENDING', 'artifactSequence': {'id': 'QXJ0aWZhY3RDb2xsZWN0aW9uOjYyMjEwMTc2OQ==', 'latestArtifact': {'id': 'QXJ0aWZhY3Q6MTY4NTUzMzM1Nw==', 'versionIndex': 22}}}
2025-04-25 18:12:08,476 INFO    SenderThread:139926 [sender.py:send_exit():554] handling exit code: 0
2025-04-25 18:12:08,476 INFO    SenderThread:139926 [sender.py:send_exit():556] handling runtime: 1
2025-04-25 18:12:08,476 INFO    SenderThread:139926 [sender.py:_save_file():1403] saving file wandb-summary.json with policy end
2025-04-25 18:12:08,476 INFO    SenderThread:139926 [sender.py:send_exit():562] send defer
2025-04-25 18:12:08,477 INFO    HandlerThread:139926 [handler.py:handle_request_defer():188] handle defer: 0
2025-04-25 18:12:08,477 INFO    SenderThread:139926 [sender.py:send_request_defer():578] handle sender defer: 0
2025-04-25 18:12:08,477 INFO    SenderThread:139926 [sender.py:transition_state():582] send defer: 1
2025-04-25 18:12:08,477 INFO    HandlerThread:139926 [handler.py:handle_request_defer():188] handle defer: 1
2025-04-25 18:12:08,477 INFO    SenderThread:139926 [sender.py:send_request_defer():578] handle sender defer: 1
2025-04-25 18:12:08,477 INFO    SenderThread:139926 [sender.py:transition_state():582] send defer: 2
2025-04-25 18:12:08,478 INFO    HandlerThread:139926 [handler.py:handle_request_defer():188] handle defer: 2
2025-04-25 18:12:08,478 INFO    HandlerThread:139926 [system_monitor.py:finish():196] Stopping system monitor
2025-04-25 18:12:08,478 INFO    HandlerThread:139926 [interfaces.py:finish():198] Joined cpu monitor
2025-04-25 18:12:08,478 INFO    HandlerThread:139926 [interfaces.py:finish():198] Joined disk monitor
2025-04-25 18:12:08,478 INFO    HandlerThread:139926 [interfaces.py:finish():198] Joined memory monitor
2025-04-25 18:12:08,478 INFO    HandlerThread:139926 [interfaces.py:finish():198] Joined network monitor
2025-04-25 18:12:08,479 INFO    SenderThread:139926 [sender.py:send_request_defer():578] handle sender defer: 2
2025-04-25 18:12:08,479 INFO    SenderThread:139926 [sender.py:transition_state():582] send defer: 3
2025-04-25 18:12:08,479 INFO    HandlerThread:139926 [handler.py:handle_request_defer():188] handle defer: 3
2025-04-25 18:12:08,479 INFO    SenderThread:139926 [sender.py:send_request_defer():578] handle sender defer: 3
2025-04-25 18:12:08,480 INFO    SenderThread:139926 [sender.py:transition_state():582] send defer: 4
2025-04-25 18:12:08,480 INFO    HandlerThread:139926 [handler.py:handle_request_defer():188] handle defer: 4
2025-04-25 18:12:08,480 INFO    SenderThread:139926 [sender.py:send_request_defer():578] handle sender defer: 4
2025-04-25 18:12:08,480 INFO    SenderThread:139926 [sender.py:transition_state():582] send defer: 5
2025-04-25 18:12:08,480 INFO    HandlerThread:139926 [handler.py:handle_request_defer():188] handle defer: 5
2025-04-25 18:12:08,480 INFO    SenderThread:139926 [sender.py:_save_file():1403] saving file wandb-summary.json with policy end
2025-04-25 18:12:08,481 INFO    SenderThread:139926 [sender.py:send_request_defer():578] handle sender defer: 5
2025-04-25 18:12:08,481 INFO    SenderThread:139926 [sender.py:transition_state():582] send defer: 6
2025-04-25 18:12:08,481 INFO    HandlerThread:139926 [handler.py:handle_request_defer():188] handle defer: 6
2025-04-25 18:12:08,481 INFO    SenderThread:139926 [sender.py:send_request_defer():578] handle sender defer: 6
2025-04-25 18:12:08,678 INFO    SenderThread:139926 [sender.py:transition_state():582] send defer: 7
2025-04-25 18:12:08,678 INFO    HandlerThread:139926 [handler.py:handle_request_defer():188] handle defer: 7
2025-04-25 18:12:08,679 INFO    SenderThread:139926 [sender.py:send_request_defer():578] handle sender defer: 7
2025-04-25 18:12:08,679 INFO    SenderThread:139926 [sender.py:transition_state():582] send defer: 8
2025-04-25 18:12:08,679 INFO    HandlerThread:139926 [handler.py:handle_request_defer():188] handle defer: 8
2025-04-25 18:12:08,679 INFO    SenderThread:139926 [sender.py:send_request_defer():578] handle sender defer: 8
2025-04-25 18:12:08,679 INFO    SenderThread:139926 [sender.py:transition_state():582] send defer: 9
2025-04-25 18:12:08,679 INFO    HandlerThread:139926 [handler.py:handle_request_defer():188] handle defer: 9
2025-04-25 18:12:08,680 INFO    SenderThread:139926 [sender.py:send_request_defer():578] handle sender defer: 9
2025-04-25 18:12:08,680 INFO    SenderThread:139926 [dir_watcher.py:finish():359] shutting down directory watcher
2025-04-25 18:12:08,807 INFO    SenderThread:139926 [dir_watcher.py:_on_file_modified():289] file/dir modified: /home/anatolii-shara/Documents/mlops_projector/hw5/wandb/run-20250425_181203-8osbhx35/files/config.yaml
2025-04-25 18:12:08,808 INFO    SenderThread:139926 [dir_watcher.py:_on_file_modified():289] file/dir modified: /home/anatolii-shara/Documents/mlops_projector/hw5/wandb/run-20250425_181203-8osbhx35/files/wandb-summary.json
2025-04-25 18:12:08,810 INFO    SenderThread:139926 [dir_watcher.py:finish():389] scan: /home/anatolii-shara/Documents/mlops_projector/hw5/wandb/run-20250425_181203-8osbhx35/files
2025-04-25 18:12:08,810 INFO    SenderThread:139926 [dir_watcher.py:finish():403] scan save: /home/anatolii-shara/Documents/mlops_projector/hw5/wandb/run-20250425_181203-8osbhx35/files/wandb-summary.json wandb-summary.json
2025-04-25 18:12:08,810 INFO    SenderThread:139926 [dir_watcher.py:finish():403] scan save: /home/anatolii-shara/Documents/mlops_projector/hw5/wandb/run-20250425_181203-8osbhx35/files/config.yaml config.yaml
2025-04-25 18:12:08,811 INFO    SenderThread:139926 [dir_watcher.py:finish():403] scan save: /home/anatolii-shara/Documents/mlops_projector/hw5/wandb/run-20250425_181203-8osbhx35/files/wandb-metadata.json wandb-metadata.json
2025-04-25 18:12:08,811 INFO    SenderThread:139926 [dir_watcher.py:finish():403] scan save: /home/anatolii-shara/Documents/mlops_projector/hw5/wandb/run-20250425_181203-8osbhx35/files/requirements.txt requirements.txt
2025-04-25 18:12:08,812 INFO    SenderThread:139926 [sender.py:transition_state():582] send defer: 10
2025-04-25 18:12:08,814 INFO    HandlerThread:139926 [handler.py:handle_request_defer():188] handle defer: 10
2025-04-25 18:12:08,818 INFO    SenderThread:139926 [sender.py:send_request_defer():578] handle sender defer: 10
2025-04-25 18:12:08,819 INFO    SenderThread:139926 [file_pusher.py:finish():169] shutting down file pusher
2025-04-25 18:12:09,399 INFO    wandb-upload_0:139926 [upload_job.py:push():130] Uploaded file /home/anatolii-shara/Documents/mlops_projector/hw5/wandb/run-20250425_181203-8osbhx35/files/wandb-summary.json
2025-04-25 18:12:09,402 INFO    wandb-upload_1:139926 [upload_job.py:push():130] Uploaded file /home/anatolii-shara/Documents/mlops_projector/hw5/wandb/run-20250425_181203-8osbhx35/files/config.yaml
2025-04-25 18:12:09,707 INFO    wandb-upload_2:139926 [upload_job.py:push():130] Uploaded file /home/anatolii-shara/Documents/mlops_projector/hw5/wandb/run-20250425_181203-8osbhx35/files/requirements.txt
2025-04-25 18:12:09,908 INFO    Thread-11 (_thread_body):139926 [sender.py:transition_state():582] send defer: 11
2025-04-25 18:12:09,909 INFO    HandlerThread:139926 [handler.py:handle_request_defer():188] handle defer: 11
2025-04-25 18:12:09,910 INFO    SenderThread:139926 [sender.py:send_request_defer():578] handle sender defer: 11
2025-04-25 18:12:09,910 INFO    SenderThread:139926 [file_pusher.py:join():175] waiting for file pusher
2025-04-25 18:12:09,911 INFO    SenderThread:139926 [sender.py:transition_state():582] send defer: 12
2025-04-25 18:12:09,911 INFO    HandlerThread:139926 [handler.py:handle_request_defer():188] handle defer: 12
2025-04-25 18:12:09,914 INFO    SenderThread:139926 [sender.py:send_request_defer():578] handle sender defer: 12
2025-04-25 18:12:09,915 INFO    SenderThread:139926 [file_stream.py:finish():601] file stream finish called
2025-04-25 18:12:10,517 INFO    SenderThread:139926 [file_stream.py:finish():605] file stream finish is done
2025-04-25 18:12:10,517 INFO    SenderThread:139926 [sender.py:transition_state():582] send defer: 13
